sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
ABP0005-052-003,GL,49.38,1.15,16.6,,,9.57,,8.75,11.73,2.51,0.06,0.12,-1.92,-12.63,-2200 to -2500,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0005-052,ABP0005,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ABP0005-052-004,GL,48.97,1.16,16.61,,,9.52,,8.76,11.57,2.58,0.06,0.11,-1.92,-12.63,-2200 to -2500,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0005-052,ABP0005,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
CON2806-002-001,GL,51.21,1.17,15.82,,,8.5,0.15,8.95,12,2.55,0.07,0.09,-2.178,-12.635,-3857,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-002,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-002-002,GL,51.23,1.23,15.56,,,8.67,0.14,8.79,12.03,2.53,0.07,0.15,-2.178,-12.635,-3857,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-002,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-002-003,GL,51.35,1.18,15.73,,,8.54,0.16,8.91,12.08,2.57,0.06,0.14,-2.178,-12.635,-3857,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-002,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
END0061-002-001,GL,50.34,1.21,16.13,,,8.93,0.18,9.01,11.74,2.4,0.04,0.36,-2.238,-12.397,-3885,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-002,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-001-001,GL,50.78,1.14,15.27,,,9.32,0.16,8.69,12.53,2.36,0.04,0.07,-2.54,-12.233,-3740,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-001,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-001-002,GL,50.88,1.13,15.06,,,9.34,0.17,8.75,12.43,2.29,0.03,0.09,-2.54,-12.233,-3740,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-001,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-001-003,GL,50.92,1.11,15.06,,,9.44,0.18,8.79,12.43,2.28,0.03,0.1,-2.54,-12.233,-3740,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-001,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
END0061-003-001,GL,51.04,1.19,15.66,,,8.81,0.18,8.76,11.9,2.43,0.06,0.27,-3.433,-12.225,-3045,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-003,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
