ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Pb206_Pb204,stdev_Pb206,Pb207_Pb204,stdev_Pb207,Pb208_Pb204,stdev_Pb208
17225,"HEGNER,1987(204)",MS(478),ALV1455-004R,44.68,-130.35,0.01,-2225,-2225,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.461,,15.491,,37.866
17226,"HEGNER,1987(204)",MS(478),ALV1457-001R-C,44.68,-130.365,1.00E-03,-2236,-2236,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.444,,15.471,,37.811
17227,"HEGNER,1987(204)",MS(478),ALV1458-002R,40.67,-130.37,0.01,-2219,-2219,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.435,,15.458,,37.764
17228,"HEGNER,1987(204)",MS(478),ALV1459-001R,44.67,-130.37,0.01,-2225,-2225,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.44,,15.466,,37.787
17229,"HEGNER,1987(204)",MS(478),ALV1461-003R,44.67,-130.37,0.01,-2234,-2234,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.461,,15.471,,37.824
17230,"HEGNER,1987(204)",MS(478),ALV1461-007R,44.67,-130.37,0.01,-2234,-2234,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.44,,15.462,,37.777
17259,"HEGNER,1987(204)",MS(478),THO0152-011,47.541,-128.963,,-2640,-2690,SPREADING_CENTER,JUAN DE FUCA RIDGE,WR,18.523,,15.456,,37.804
17262,"HEGNER,1987(204)",MS(478),THO0152-021,46.926,-129.262,,-2410,-2520,SPREADING_CENTER,JUAN DE FUCA RIDGE,WR,18.401,,15.465,,37.814
17265,"HEGNER,1987(204)",MS(478),THO0152-037-000,44.617,-130.395,1.00E-03,-2235,-2240,SPREADING_CENTER,JUAN DE FUCA RIDGE,WR,18.468,,15.437,,37.701
17268,"HEGNER,1987(204)",MS(478),LEE81WF-11-022-023,44.6675,-130.36,1.00E-04,-2208,-2208,SPREADING_CENTER,JUAN DE FUCA RIDGE,WR,18.46,,15.445,,37.695,
17956,"FORNARI,1988(554)",MS(500),ALV1567-1653,9.8373,-104.2878,1.00E-04,-2846,-2846,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.226,,15.458,,38.361,
17964,"FORNARI,1988(554)",MS(500),AII0112-25-002-001,9.8717,-104.358,0.01,-2770,-2820,SEAMOUNT,"SASHA SMT, LAMONT SMTS",GL,18.209,,15.465,,37.519,
17966,"FORNARI,1988(554)",MS(500),ALV1558-2014,9.9067,-104.405,1.00E-04,-1978,-1978,SEAMOUNT,"SASHA SMT, LAMONT SMTS",GL,19.572,,15.766,,38.854,
17968,"FORNARI,1988(554)",MS(500),ALV1558-1839,9.9045,-104.4058,1.00E-04,-1980,-1980,SEAMOUNT,LAMONT SMTS,GL,18.119,,15.461,,37.433,
17972,"FORNARI,1988(554)",MS(500),ALV1559-1751,9.923,-104.4807,1.00E-03,-1799,-1799,SEAMOUNT,LAMONT SMTS,GL,18.419,,15.563,,37.87,
