sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,Te,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
TRI0154-013-001,glass,51.64,1.1,15.61,7.16,0.74,,,0.05,8.51,12.55,2.33,0.13,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,-28.39,-2560,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-013,TR154,dredge,"basalt, basalt, cryptocristalline",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0154-013-001,whole rock,50.61,0.92,17.43,6.21,1.15,,,0.13,7.62,13.53,2.13,0.17,0.1,4.1,10,,7,2.2,0.8,,0.5,,,,0.36,2.2,0.35,36,34,432,0.038,,,,1483,,,101,,2.93,,36,,124,,,,,212,,,,0.703285,0.512893,,,,,,44,-28.39,-2560,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-013,TR154,dredge,"basalt, basalt, cryptocristalline",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0154-012-002,glass,52.43,1.5,15.64,7.55,0.76,,,0.07,7.09,11.63,2.79,0.35,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.37,-28.98,-3040,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-012,TR154,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0154-012-002,whole rock,50.75,1.29,16.02,6.73,1.75,,,0.15,7.7,12.19,2.46,0.39,0.16,11.4,26.4,,15.3,3.4,1.3,,0.7,,,,0.53,2.3,0.41,76,41,257,0.098,,,,3610,,,112,,7.13,,41,,166,,,,,252,,,,0.703402,0.512888,,,,,,43.37,-28.98,-3040,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-012,TR154,dredge,"basalt, basalt, cryptocristalline to aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
AII0032-3-012-008,glass,51.77,1.57,15.53,,,8.87,,,6.77,11.29,2.66,0.54,0.18,,29.2,,,,,,,,,,,,,,,,,,,,4449,,21.3,,1.033,,,,,,,1.443,,0.391,,,,,0.70334,0.512992,19.69,15.608,39.299,,,42.96,-29.18,-1441 to -1816,SPREADING_CENTER;MID-ATLANTIC RIDGE,AII0032-3-012,AII032,dredge,"basalt, basalt, ",fresh,"Hofmann,1986(161); Ito,1987(187); Jochum,1983(207); Shibata,1979(113); White,1993(477)",EMP(318); MS(1051); MS-ID(1118); SS-ID(1062); SSMS(1560)
AII0032-3-012-008,whole rock,50.57,1.74,15.41,6.85,2.06,8.7,,0.18,7.45,11.22,2.6,0.54,0.23,15.1,32,,17.9,3.82,1.37,,0.83,,1.15,,,2.83,0.39,145,40,300,0.129,57,16,2.8,4767,6,,105,,9.93,,38,1.49,201,,,,,300,31,,103,0.703379,0.512881,,,,,,42.96,-29.18,-1441 to -1816,SPREADING_CENTER;MID-ATLANTIC RIDGE,AII0032-3-012,AII032,dredge,"basalt, basalt, ",fresh,"Jochum,1993(671); Shibata,1979(113); White,1978(41); Yu,1997(119)",DROES(320); INAA(321); MS(115); MS(116); MS-ID(98); MS-ID(99); SSMS(2422); WET(317); XRF(100)
AII0032-3-012-007,glass,51.66,1.41,15.83,,,8.26,,0.13,7.12,12.14,2.54,0.48,0.18,13.5,26.5,,16.3,3.75,1.29,4.03,,4.35,,2.58,,2.42,,142,,,,,,,,,20.53,,,10.6,,35.9,,202,1.34,1.57,8423,0.388,,22.8,,93.1,0.703358,0.512907,19.654,15.622,39.295,,,42.96,-29.18,-1441 to -1816,SPREADING_CENTER;MID-ATLANTIC RIDGE,AII0032-3-012,AII032,dredge,"basalt, basalt; tholeiite(ref-113);, porphyritic; discrete pc of ol, glomeroporphyritic mc composed of intrlocking subhedral plag, ol and cpx(ref-113);sparsely porphyritic, 4.5% ol-pc, 0.5% cpx pc up to 2 mm in diameter; ol and cpx pc contain brown spinel inclusions (up to 70 um) and melt in",fresh,"Kamenetsky,1998(665)",EMP(2415); LAICP(2417); MS(2418)
AII0032-3-012-007,whole rock,48.64,1.41,14.98,6.84,2.08,8.71,,0.16,10.6,11.67,2.22,0.27,0.23,12.4,27.1,,12.6,3.19,1.18,,0.6,,0.8,,,2.22,0.36,105,42,560,,60,15,1.9,,6,,225,,,,36,,185,1.4,2,,,235,24,,95,,,,,,,,42.96,-29.18,-1441 to -1816,SPREADING_CENTER;MID-ATLANTIC RIDGE,AII0032-3-012,AII032,dredge,"basalt, basalt; tholeiite(ref-113);, porphyritic; discrete pc of ol, glomeroporphyritic mc composed of intrlocking subhedral plag, ol and cpx(ref-113);sparsely porphyritic, 4.5% ol-pc, 0.5% cpx pc up to 2 mm in diameter; ol and cpx pc contain brown spinel inclusions (up to 70 um) and melt in",fresh,"Shibata,1979(113)",DROES(320); INAA(321); WET(317)
TRI0154-015-002,glass,51.52,1.65,14.91,8.98,0.96,,,0.08,6.64,11.04,2.74,0.41,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.79,-29.36,-2925,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-015,TR154,dredge,"basalt, basalt, cryptocristalline",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0154-015-002,whole rock,50.75,1.47,15.37,8.06,1.63,,,0.18,7.06,11.64,2.44,0.55,0.18,12.1,27.2,,14.9,3.9,1.3,,0.8,,,,0.65,2.7,0.4,114,40,91,0.107,,,,5081,,,59,,9.6,,39,,174,,,,,302,,,,0.70326,0.512917,,,,,,42.79,-29.36,-2925,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-015,TR154,dredge,"basalt, basalt, cryptocristalline",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
TRI0154-016-003,glass,51.3,1.17,15.68,8.46,0.93,,,0.07,8.23,11.96,2.45,0.14,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.39,-29.4,-2895,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-016,TR154,dredge,"basalt, basalt, aphanitic",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
