sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Ga,Hf,K,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
KAK83NP-2-016-001,glass,50,1.89,14.8,10.9,,10.8,,0.21,7.08,11.2,2.76,0.24,0.21,5.84,16.3,,11.4,4.32,1.43,,1.17,,,,,3.7,0.59,,41.3,307,,,3.6,,,116,,,,40.7,,140,0.41,0.54,,,34,91,125,0.70261,,,,,41.522,-127.457,-3320 to -3340,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-016,KK2-83-NP,dredge,"basalt, basalt, highly porphyritic; plag-pc up to centimeters across with disequilibrium textures; ol-pc with glass inclusions",fresh,"Clague,1984(512); Davis,1987(121); Davis,1993(55)",EMP(2307); EMP(405); INAA(445); MS(447); XRF(446)
KAK83NP-2-017-010,glass,50.7,1.5,15.7,9.62,,9.62,,0.21,7.42,11.5,2.76,0.19,0.16,4.3,12.3,,9,3.4,1.19,,0.9,,,,,2.9,0.48,,41.3,336,,,2.83,,,172,,,,39,,147,0.07,0.284,0.095,,29,89,100,0.70263,,,,,41.462,-127.225,-1700 to -1703,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-017,KK2-83-NP,dredge,"basalt, basalt, chilled glassy margin of mn-encrusted pillow",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121); Goldstein,1989(439)",EMP(2307); EMP(2685); INAA(445); MS(1010); MS(447); XRF(446)
KAK83NP-2-002-005,glass,51.1,1.75,15.1,9.8,,9.8,,0.19,7.27,11.4,2.84,0.13,0.2,2.73,9.4,,10.8,3.23,1.13,,0.81,,,,,3.1,0.48,,42.7,336,,,2.83,,,161,,,,38,,102,0.13,0.07,,,26,78,93,0.70245,,,,,42.907,-126.672,-3215,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-002,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-003-004,glass,50.5,2.14,14.1,11.1,,11.1,,0.22,6.42,11.7,3.07,0.21,0.27,4.19,12.1,,10.1,3.38,1.17,,0.8,,,,,3,0.46,,40.7,343,,,3.04,,,157,,,,38.6,,144,0.28,0.24,,,26,82,102,0.70247,,,,,42.845,-126.7,-3158,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-003,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-004-015,glass,50.3,0.97,16.7,7.99,,7.99,,0.16,8.83,12.2,2.54,0.05,0.09,1.39,5.2,,6.1,2.23,0.88,,0.6,,,,,2.3,0.35,,42.6,378,,,2.24,,,180,,,,34.6,,103,0.08,0.09,,,23,63,60,0.70246,,,,,42.757,-126.762,-3223,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-004,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-006-012,glass,50.1,2.05,14.7,,,10.7,,0.21,7.4,11.3,2.92,0.16,0.21,5.16,16.5,,14.3,4.84,1.59,,1.19,,,,,4.3,0.68,,42.2,248,,,4.15,,,107,,,,39.8,,127,0.31,0.26,,,44,96,146,0.70233,,,,,42.572,-126.852,-3288,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-006,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1989(749); Davis,1987(121)",EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-007-004,glass,50.1,1.73,15.6,9.7,,9.7,,0.2,7.57,11.7,2.76,0.22,0.21,5.68,15.8,,12.5,4.08,1.38,,1.01,,,,,3.6,0.58,,41.5,338,,,3.56,,,154,,,,38.4,,142,0.39,0.37,,,31,88,118,0.70251,,,,,42.473,-126.888,-3658,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-007,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-009-001,glass,50.42,1.28,15.3,9.43,,9.41,,0.2,8.7,12.34,2.29,0.06,0.11,1.96,8,,7.7,2.84,1.31,,0.83,,,,,3,0.47,,43.7,370,,,2.74,,,119,,,,39.5,,103,0.09,0.079,0.029,,22,77,76,0.70267,,,,,42.248,-127.077,-3048,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-009,KK2-83-NP,dredge,"basalt, basalt, chilled glassy margin of pillow basalt",fresh,"Clague,1984(512); Davis,1987(121); Goldstein,1989(439); Nielsen,1995(249)",EMP(187); EMP(2307); INAA(445); MS(1010); MS(447); XRF(446)
LEE85NC-6-036,glass,50.3,1.54,15.4,,,9.71,,0.19,7.58,11.4,2.71,0.24,0.18,7.1,17,,13.5,4,1.4,,0.9,,,,,3.6,,41.15,,,,,,,,,,,,,,139,,0.609,0.19,,,,,,0.513112,,,,40.983,-127.503,-3200,SPREADING_CENTER;GORDA RIDGE,LEE85NC-6-036,L6-85-NC,dredge,"basalt, basalt, ",fresh,"Davis,1998(871); Goldstein,1991(564); Volpe,1993(570)",EMP(1690); ICPMS(1692); MS(1693); MS-ID(2354); MS-ID(866); XRF-EDS(1695)
ALV1455-004R,glass,50.97,2,13.81,,,12.46,,,6.28,10.73,2.85,0.21,0.25,,,,20.78,6.78,,,,,,,,,,,,,,,,,,,0.377,2.86,,,,116,,0.545,0.212,,,,,0.702491,0.513152,18.461,15.491,37.866,44.68,-130.35,-2225,SPREADING_CENTER;JUAN DE FUCA RIDGE,ALV1455-004,ALVIN 1455,submersible,"basalt, basalt, ",fresh,"Hegner,1987(204); Melson,(1086)",EMP(3262); MS(478); MS-ID(479)
