ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,U
2493,"NIU,1997(33)",ICPMS(44),1044,WASRAI2-075-002,10.698,-103.872,1.00E-03,-3115,-3115,SEAMOUNT,,GL,0.408
2494,"NIU,1997(33)",ICPMS(44),1045,WASRAI2-076-001,10.63,-103.24,1.00E-03,-2344,-2381,SEAMOUNT,,GL,0.042
2495,"NIU,1997(33)",ICPMS(44),1046,WASRAI2-078-006,11.217,-103.59,1.00E-03,-2420,-2780,SEAMOUNT,,GL,0.621
2496,"NIU,1997(33)",ICPMS(44),1047,WASRAI2-079-002,11.979,-103.243,1.00E-03,-1600,-1700,SEAMOUNT,,GL,0.656
2497,"NIU,1997(33)",ICPMS(44),1048,WASRAI2-080-001,11.805,-103.252,1.00E-03,-1589,-1619,SEAMOUNT,,GL,0.256
2498,"NIU,1997(33)",ICPMS(44),1049,WASRAI2-081-001,11.525,-103.562,1.00E-03,-2174,-2276,SEAMOUNT,,GL,0.042
2499,"NIU,1997(33)",ICPMS(44),1050,WASRAI2-082-001,11.505,-103.603,1.00E-03,-2632,-2660,SEAMOUNT,,GL,0.029
2500,"NIU,1997(33)",ICPMS(44),1051,WASRAI2-083-003,11.238,-103.593,1.00E-03,-2785,-2905,SEAMOUNT,,GL,0.587
2501,"NIU,1997(33)",ICPMS(44),1052,WASRAI2-084-003,11.48,-103.87,1.00E-03,-2244,-2325,SEAMOUNT,,GL,0.093
2502,"NIU,1997(33)",ICPMS(44),1053,WASRAI2-086-002,11.5,-103.977,1.00E-03,-2509,-2559,SEAMOUNT,,GL,0.133
2503,"NIU,1997(33)",ICPMS(44),1054,WASRAI2-089-SG,11.523,-103.88,1.00E-03,-2448,-2455,SEAMOUNT,,GL,0.091
2504,"NIU,1997(33)",ICPMS(44),1005,WASRAI2-009-001,8.392,-103.525,1.00E-03,-3090,-3140,SEAMOUNT,,GL,0.061
2505,"NIU,1997(33)",ICPMS(44),1055,WASRAI2-091-004,11.787,-103.852,1.00E-03,-2620,-2630,SEAMOUNT,,GL,0.082
2506,"NIU,1997(33)",ICPMS(44),1056,WASRAI2-092-006,11.937,-103.89,1.00E-03,-2844,-2867,SEAMOUNT,,GL,0.231
2507,"NIU,1997(33)",ICPMS(44),1057,WASRAI2-093-007,12.29,-103.645,1.00E-03,-2680,-2721,SEAMOUNT,,GL,0.141
