sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Mo,Nb,Ni,Pb,Rb,Sc,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
MIR2157-001,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1.3,27,160,,90,,4.6,,4,1.3,3,70,2.6,4,22,2.5,250,,,,,230,,,75,150,,,,,,,-9.9193,151.8127,-2463,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>>ol>cpx",,"Dril,1997(855)",ES(2469); ES(2470); FPHOT(2471); XRF(2465)
MIR2157-005,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.8,23,140,,62,,5.5,,4,1.7,4,79,3.3,4,26,2.5,250,,,,,240,,23,64,130,,,,,,,-9.9045,151.8258,-2191,BACK-ARC_BASIN;WOODLARK BASIN,MIR2157-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, plag>ol",,"Dril,1997(855)",ES(2469); ES(2470); FPHOT(2471); XRF(2465)
MIR2192-003,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.95,34,260,,56,,4.5,,4,0.2,2.5,100,2.8,3,30,1.6,250,,,,,450,,26,75,140,,,,,,,-9.905,151.8167,-2220,BACK-ARC_BASIN;WOODLARK BASIN,MIR2192-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 20-25% pc, plag>cpx>ol",,"Dril,1997(855)",ES(2469); ES(2470); FPHOT(2471); XRF(2465)
MIR2197-001,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,1.2,11,92,,65,,4.5,,3,1.3,4,56,4.6,6,20,1.4,470,,,,,220,,25,80,160,,,,,,,-9.79,151.674,-3300,BACK-ARC_BASIN;WOODLARK BASIN,MIR2197-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 25-30% pc, plag>ol>cpx",,"Dril,1997(855)",ES(2469); ES(2470); FPHOT(2471); XRF(2465)
MIR2197-005,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,6,,4,,,,,,180,,,,,,,,,50,,,,,,,-9.79,151.6942,-3183,BACK-ARC_BASIN;WOODLARK BASIN,MIR2197-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 10-15% pc, plag>cpx, ol",,"Dril,1997(855)",ES(2470); FPHOT(2471); XRF(2465)
MIR2177-009,WR,,,,,,,,,,,,,,25,40,,28,5.6,1.4,5.2,,4.3,0.96,2.5,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7755,150.9738,-931,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-009,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 10-15% pc, plag>cpx>ol; clots of cpx+plag",,"Dril,1997(855)",ES(2470)
MIR2177-020,WR,,,,,,,,,,,,,,29,50,,35,6.7,2,5.7,,5.4,0.87,3.1,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7777,150.9925,-333,BACK-ARC_BASIN;WOODLARK BASIN,MIR2177-020,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% ol-pc",,"Dril,1997(855)",ES(2470)
MIR2186-003,WR,,,,,,,,,,,,,,20,37,,32,8.8,2.1,5.7,,5.1,1.1,3.7,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7917,151.0295,-1165,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-003,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 1-2% ol-pc",,"Dril,1997(855)",ES(2470)
MIR2186-005,WR,,,,,,,,,,,,,,22,40,,25,6.8,1.9,4.5,,5.4,0.7,2.4,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7847,151.0122,-1128,BACK-ARC_BASIN;WOODLARK BASIN,MIR2186-005,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",ES(2470)
MIR2170-001,WR,,,,,,,,,,,,,,6,15,,10,4.5,1.5,4.9,,5.1,1.05,4.3,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.9255,151.855,-2320,BACK-ARC_BASIN;WOODLARK BASIN,MIR2170-001,AK. MST. KELDYSH 21,submersible,"basalt; basalt; , 5-10% pc, ol>>plag",,"Dril,1997(855)",ES(2470)
